Handle,title,Variant SKU,Body (HTML),Vendor,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Qty,Variant Inventory Tracker,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Fulfillment Service,Variant Grams,Variant Weight Unit,Status,SEO Title,Gift Card,Image Src
A15620-STL,ZORN,A15620-STL-0,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,0,Color,Grey,0.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-BLK,ZORN,A15620-BLK-0,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,0,Color,Black,0.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-BLK,ZORN,A15620-BLK-2,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,2,Color,Black,0.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-BLK,ZORN,A15620-BLK-3,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,3,Color,Black,3.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-BLK,ZORN,A15620-BLK-4,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,4,Color,Black,1.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-BLK,ZORN,A15620-BLK-5,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,5,Color,Black,3.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-BLK,ZORN,A15620-BLK-1,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,1,Color,Black,1.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-STL,ZORN,A15620-STL-1,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,1,Color,Grey,0.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-STL,ZORN,A15620-STL-2,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,2,Color,Grey,0.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-STL,ZORN,A15620-STL-3,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,3,Color,Grey,1.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-STL,ZORN,A15620-STL-4,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,4,Color,Grey,1.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
A15620-STL,ZORN,A15620-STL-5,"Round neck crepe jersey dress

<br/><br/><li/> Long-sleeved
<br/><br/><li/> Structured jersey details at cuffs and hemline
<br/><br/><li/> Side slits
<br/><br/><li/> Slips on
",mariesaintpierre,FALSE,Size,5,Color,Grey,0.0000,shopify,740.0000,TRUE,TRUE,manual,1000,g,draft,ZORN,FALSE,
